ID,Question,Context,Expected Answer
1,Is this phone waterproof?,"This phone has IP68 rating.","Yes, it is water-resistant with IP68 rating."
2,Can I get a refund?,"Exchange allowed within 5 days.","No, refund is not mentioned. Only exchange is allowed."
3,Does this support iPhone?,"Works only with Android devices.","No, it works only with Android devices."
4,Is installation free?,"Installation costs ₹500.","No, installation is not free. It costs ₹500."
5,What colors are available?,"Available in blue only.","It is available only in blue."
6,Is COD available everywhere?,"COD available in select cities.","COD is available only in select cities."
7,How long is warranty?,"Comes with 1-year warranty.","It has a 1-year warranty."
8,Is this good for gaming?,"8GB RAM, Snapdragon processor.","It should be suitable for gaming based on specs."
9,Can I return after 10 days?,"Returns allowed within 7 days.","No, returns are allowed only within 7 days."
10,Is it in stock?,"Ships in 3–5 days.","Stock is not explicitly mentioned."
11,Does it come with charger?,"Box includes phone and cable only.","No charger is included."
12,Is there a discount?,"Current price is ₹999.","No discount mentioned."
13,Is it compatible with Mac?,"Compatible with Windows only.","No, it works only with Windows."
14,Can I cancel after shipping?,"Cancellation allowed before shipping only.","No, cannot cancel after shipping."
15,Does it support fast charging and wireless charging?,"Supports fast charging only.","Supports fast charging but not wireless charging."
16,Is delivery guaranteed in 2 days?,"Delivery in 3–5 days.","No, delivery takes 3–5 days."
17,Is this suitable for kids?,"Lightweight, durable material.","Likely suitable, but not explicitly stated."
18,Does it have Bluetooth?,"Supports WiFi and NFC.","Bluetooth not mentioned."
19,Is the screen OLED?,"6.5-inch LCD display.","No, it has an LCD display."
20,Can I use it internationally?,"Supports dual SIM, no region restriction mentioned.","Likely yes, but not explicitly stated."
